2025-12-21 17:58:12 | WARNING  | feature.registry | Registry file not found at C:\Users\hanji\Documents\github\RL_pj\indicator_machinlearning\data\features.json. Starting empty.
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: VOLATILITY_ATR_V1 (Average True Range)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: VOLATILITY_BB_V1 (Bollinger Bands)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: VOLATILITY_KC_V1 (Keltner Channels)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: VOLATILITY_DONCHIAN_V1 (Donchian Channels)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_RSI_V1 (Relative Strength Index)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_MACD_V1 (MACD)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MEANREV_STOCH_V1 (Stochastic Oscillator)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_CCI_V1 (Commodity Channel Index)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_ROC_V1 (Rate of Change)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_WILLR_V1 (Williams %R)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_MOM_V1 (Momentum)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_CMO_V1 (Chande Momentum Oscillator)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: TREND_MACROSS_V1 (Moving Average Crossover)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: TREND_ADX_V1 (Average Directional Index)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: TREND_TRIX_V1 (Triple Exponential Average)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: TREND_ICHIMOKU_V1 (Ichimoku Cloud)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: TREND_SUPER_V1 (Supertrend)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: VOLUME_OBV_V1 (On-Balance Volume)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: VOLUME_MFI_V1 (Money Flow Index)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: VOLUME_CMF_V1 (Chaikin Money Flow)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: VOLUME_EOM_V1 (Ease of Movement)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: TREND_PSAR_V1 (Parabolic SAR)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: TREND_AROON_V1 (Aroon)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_AO_V1 (Awesome Oscillator)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_TSI_V1 (True Strength Index)
2025-12-21 17:58:12 | INFO     | feature.registry | Registered feature: MOMENTUM_KST_V1 (Know Sure Thing)
